vi,ctrl,sx,sy,cx,cy,btns,value
130,0,0,0,0,0,0,00000000
130,1,0,0,0,0,0,00000000
130,2,0,0,0,0,0,00000000
130,3,0,0,0,0,0,00000000
1781,1,0,0,0,0,0,80000000
1784,1,0,0,0,0,0,00000000
