vi,ctrl,sx,sy,cx,cy,btns,value
1221,0,27,0,0,0,0,00001600
1225,0,28,0,0,0,0,00001700
1228,0,29,0,0,0,0,00001800
1232,0,30,0,0,0,0,00001800
1236,0,31,0,0,0,0,00001900
1240,0,32,0,0,0,0,00001a00
1244,0,33,0,0,0,0,00001b00
1248,0,34,0,0,0,0,00001c00
1252,0,35,0,0,0,0,00001c00
1256,0,36,0,0,0,0,00001d00
1261,0,37,0,0,0,0,00001e00
1265,0,38,0,0,0,0,00001f00
1269,0,39,0,0,0,0,00002000
1273,0,40,0,0,0,0,00002100
1277,0,41,0,0,0,0,00002100
1281,0,42,0,0,0,0,00002200
1285,0,43,0,0,0,0,00002300
1289,0,44,0,0,0,0,00002400
1293,0,45,0,0,0,0,00002500
1297,0,46,0,0,0,0,00002500
1301,0,47,0,0,0,0,00002600
1305,0,48,0,0,0,0,00002700
1309,0,49,0,0,0,0,00002800
1313,0,50,0,0,0,0,00002900
1317,0,51,0,0,0,0,00002900
1321,0,52,0,0,0,0,00002a00
1325,0,53,0,0,0,0,00002b00
1329,0,54,0,0,0,0,00002c00
1333,0,55,0,0,0,0,00002d00
1337,0,56,0,0,0,0,00002e00
1341,0,57,0,0,0,0,00002e00
1345,0,58,0,0,0,0,00002f00
1349,0,59,0,0,0,0,00003000
1353,0,60,0,0,0,0,00003100
1357,0,61,0,0,0,0,00003200
1361,0,62,0,0,0,0,00003200
1365,0,63,0,0,0,0,00003300
1369,0,64,0,0,0,0,00003400
1373,0,65,0,0,0,0,00003500
1377,0,66,0,0,0,0,00003600
1381,0,67,0,0,0,0,00003700
1385,0,68,0,0,0,0,00003700
1389,0,69,0,0,0,0,00003800
1393,0,70,0,0,0,0,00003900
1397,0,71,0,0,0,0,00003a00
1401,0,72,0,0,0,0,00003b00
1405,0,73,0,0,0,0,00003b00
1409,0,74,0,0,0,0,00003c00
1413,0,75,0,0,0,0,00003d00
1417,0,76,0,0,0,0,00003e00
1421,0,77,0,0,0,0,00003f00
1425,0,78,0,0,0,0,00003f00
1429,0,79,0,0,0,0,00004000
1433,0,80,0,0,0,0,00004100
1437,0,81,0,0,0,0,00004200
1441,0,82,0,0,0,0,00004300
1445,0,83,0,0,0,0,00004400
1449,0,84,0,0,0,0,00004400
1453,0,85,0,0,0,0,00004500
1458,0,86,0,0,0,0,00004600
1460,0,87,0,0,0,0,00004700
1464,0,88,0,0,0,0,00004800
1468,0,89,0,0,0,0,00004800
1472,0,90,0,0,0,0,00004900
1477,0,91,0,0,0,0,00004a00
1481,0,92,0,0,0,0,00004b00
1485,0,93,0,0,0,0,00004c00
1488,0,94,0,0,0,0,00004c00
1492,0,95,0,0,0,0,00004d00
1496,0,96,0,0,0,0,00004e00
1500,0,97,0,0,0,0,00004f00
1504,0,98,0,0,0,0,00005000
1509,0,99,0,0,0,0,00005100
1513,0,100,0,0,0,0,00005100
1517,0,101,0,0,0,0,00005200
1520,0,102,0,0,0,0,00005200
1524,0,103,0,0,0,0,00005200
1528,0,104,0,0,0,0,00005200
1532,0,105,0,0,0,0,00005200
1536,0,106,0,0,0,0,00005200
1541,0,107,0,0,0,0,00005200
1545,0,108,0,0,0,0,00005200
1550,0,109,0,0,0,0,00005200
1552,0,110,0,0,0,0,00005200
1556,0,111,0,0,0,0,00005200
1561,0,112,0,0,0,0,00005200
1565,0,113,0,0,0,0,00005200
1569,0,114,0,0,0,0,00005200
1572,0,115,0,0,0,0,00005200
1576,0,116,0,0,0,0,00005200
1580,0,117,0,0,0,0,00005200
1585,0,118,0,0,0,0,00005200
1589,0,119,0,0,0,0,00005200
1592,0,120,0,0,0,0,00005200
1596,0,121,0,0,0,0,00005200
1600,0,122,0,0,0,0,00005200
1605,0,123,0,0,0,0,00005200
1609,0,124,0,0,0,0,00005200
1614,0,125,0,0,0,0,00005200
1617,0,126,0,0,0,0,00005200
1620,0,127,0,0,0,0,00005200
1625,0,0,-128,0,0,0,000000ae
1629,0,0,-127,0,0,0,000000ae
1633,0,0,-126,0,0,0,000000ae
1637,0,0,-125,0,0,0,000000ae
1641,0,0,-124,0,0,0,000000ae
1644,0,0,-123,0,0,0,000000ae
1648,0,0,-122,0,0,0,000000ae
1652,0,0,-121,0,0,0,000000ae
1657,0,0,-120,0,0,0,000000ae
1661,0,0,-119,0,0,0,000000ae
1665,0,0,-118,0,0,0,000000ae
1669,0,0,-117,0,0,0,000000ae
1673,0,0,-116,0,0,0,000000ae
1676,0,0,-115,0,0,0,000000ae
1680,0,0,-114,0,0,0,000000ae
