vi,ctrl,sx,sy,cx,cy,btns,value
300,0,0,0,0,0,256,80000000
310,0,0,0,0,0,0,00000000
600,0,0,0,0,0,256,80000000
610,0,0,0,0,0,0,00000000
900,0,0,0,0,0,256,80000000
910,0,0,0,0,0,0,00000000
1500,0,0,0,0,0,256,80000000
1510,0,0,0,0,0,0,00000000
